Feature,Mean(Won),Mean(Lost),Difference,T-Statistic,T-P-Value,U-Statistic,U-P-Value,Cohens_d,Correlation,Significant
wickets_fallen,4.305785123966942,9.55793991416309,-5.252154790196148,-32.993541668478,9.318836555059555e-125,1083.0,5.0416730337394905e-78,-3.0282386517721807,-0.8349254153846463,True
runs_required,-1.8884297520661157,75.83261802575107,-77.72104777781719,-21.42462969210463,1.1306054562438235e-71,0.0,3.319261623330195e-80,-1.9664118628259422,-0.7017815231742446,True
elo_difference,49.24084363629854,-68.15049365291434,117.39133728921288,8.22093073602054,1.9596711074393152e-15,39553.0,3.064260977353816e-14,0.7545397962578817,0.3535814846617854,True
current_run_rate,5.477560890903093,4.71821939534059,0.7593414955625031,6.98547486463413,9.68159709075699e-12,38065.0,4.094374301358382e-11,0.6411462339697324,0.3058054380040637,True
head_to_head_ratio,0.528636423872893,0.3616896340157446,0.1669467898571484,6.888894353001094,1.800160755459789e-11,38316.0,1.0104651819101999e-11,0.6322818070684363,0.30196537946975016,True
required_run_rate,-0.5800391190176575,20.874672981072322,-21.45471210008998,-6.4263406578054605,3.194452674225224e-10,3505.5,1.2488207906061937e-64,-0.5898273475749375,-0.2833716424692816,True
bowling_historical_win_ratio,0.44316031925668076,0.5134891849769833,-0.0703288657203025,-4.3974405448095855,1.3541187434042148e-05,21176.5,2.712553289685646e-06,-0.4036092748231716,-0.19818397079690026,True
overs_completed,40.01928374655647,43.876967095851214,-3.8576833492947458,-4.315412158023023,1.9410377737308293e-05,23485.5,0.001645975339770353,-0.39608048225202097,-0.19462843061165452,True
balls_remaining,59.88429752066116,36.738197424892704,23.146100095768453,4.31541215802302,1.94103777373085e-05,32900.5,0.001645975339770353,0.39608048225202064,0.19462843061165455,True
batting_historical_win_ratio,0.48480792705540754,0.42332396795385197,0.061483959101555574,4.003312480301185,7.250317002450501e-05,34423.5,3.0996615902454233e-05,0.36743510926419565,0.18103114101972437,True
bowling_player_strength,0.4656888001566683,0.49002110979860963,-0.02433230964194133,-3.6908235742917803,0.0002495464683315585,22794.0,0.00030651684841399287,-0.33875401182591214,-0.16731209471062594,True
bowling_recent_form,0.4654269972451791,0.532832618025751,-0.06740562078057188,-2.7101711422230723,0.00696919379895187,24384.0,0.009401778333194546,-0.24874701504502225,-0.1236573874934951,True
batting_recent_form,0.490771349862259,0.4320457796852647,0.05872557017699431,2.3746675072987795,0.017962734290876067,31577.5,0.020931743429764775,0.21795356203241417,0.10854223197220622,True
batting_player_strength,0.47250430666387006,0.46290095994783725,0.009603346716032801,1.4811458042590602,0.13923354249185893,30531.0,0.11805754114622931,0.13594366492799692,0.0679457713150267,False
current_score,212.23140495867767,208.75965665236052,3.471748306317153,0.6087033793172413,0.5430132762034166,29144.5,0.5248379562357861,0.05586848236040993,0.027977255493567874,False
