Feature,Won Mean,Lost Mean,Won Std,Lost Std,Difference,T-Statistic,P-Value,Significant
current_score,212.23140495867767,208.75965665236052,64.27175968202293,59.84824705656527,3.471748306317153,0.6087033793172413,0.5430132762034166,ns
wickets_fallen,4.305785123966942,9.55793991416309,2.187641543329582,1.0777287163425233,-5.252154790196148,-32.993541668478,9.318836555059555e-125,***
overs_completed,40.01928374655647,43.876967095851214,11.483610107387795,7.5108082246274295,-3.8576833492947458,-4.315412158023023,1.9410377737308293e-05,***
runs_required,-1.8884297520661157,75.83261802575107,4.219096874563734,56.27122098185547,-77.72104777781719,-21.42462969210463,1.1306054562438235e-71,***
balls_remaining,59.88429752066116,36.738197424892704,68.90166064432677,45.06484934776458,23.146100095768453,4.31541215802302,1.94103777373085e-05,***
current_run_rate,5.477560890903093,4.71821939534059,1.3657031475870014,0.9603562575181013,0.7593414955625031,6.98547486463413,9.68159709075699e-12,***
required_run_rate,-0.5800391190176575,20.874672981072322,1.7829187739342078,51.90609859796557,-21.45471210008998,-6.4263406578054605,3.194452674225224e-10,***
batting_historical_win_ratio,0.48480792705540754,0.42332396795385197,0.1519167320075379,0.18196919105976997,0.061483959101555574,4.003312480301185,7.250317002450501e-05,***
bowling_historical_win_ratio,0.44316031925668076,0.5134891849769833,0.18199321740410998,0.16582368800059705,-0.0703288657203025,-4.3974405448095855,1.3541187434042148e-05,***
head_to_head_ratio,0.528636423872893,0.3616896340157446,0.2725755925364366,0.2548677585218281,0.1669467898571484,6.888894353001094,1.800160755459789e-11,***
batting_recent_form,0.490771349862259,0.4320457796852647,0.25707553442038167,0.2817114869504991,0.05872557017699431,2.3746675072987795,0.017962734290876067,*
bowling_recent_form,0.4654269972451791,0.532832618025751,0.2875082157645536,0.25266962953647426,-0.06740562078057188,-2.7101711422230723,0.00696919379895187,**
elo_difference,49.24084363629854,-68.15049365291434,161.16434359760942,149.5584823454044,117.39133728921288,8.22093073602054,1.9596711074393152e-15,***
batting_player_strength,0.47250430666387006,0.46290095994783725,0.06756528118965256,0.0737023967174678,0.009603346716032801,1.4811458042590602,0.13923354249185893,ns
bowling_player_strength,0.4656888001566683,0.49002110979860963,0.07972378793777238,0.06258168951151806,-0.02433230964194133,-3.6908235742917803,0.0002495464683315585,***
